#P_AB   P_AC     delta*    P_AB    P_AC     delta
0.71375 0.746128 0.113316 0.71375 0.782605 0.196431

0.713927 0.745989 0.113195 0.713927 0.782535 0.196224

0.714104 0.74585 0.113075 0.714104 0.782466 0.196016

0.714281 0.74571 0.112955 0.714281 0.782396 0.195809

0.714459 0.745571 0.112836 0.714459 0.782326 0.195602

0.714636 0.745431 0.112716 0.714636 0.782257 0.195395

0.714813 0.745291 0.112596 0.714813 0.782187 0.195188

0.71499 0.745151 0.112477 0.71499 0.782117 0.194981

0.715167 0.745011 0.112357 0.715167 0.782046 0.194774

0.715344 0.74487 0.112238 0.715344 0.781976 0.194568

0.715521 0.74473 0.112119 0.715521 0.781906 0.194361

0.715699 0.744589 0.112 0.715699 0.781835 0.194155

0.715876 0.744448 0.111881 0.715876 0.781765 0.193948

0.716053 0.744306 0.111762 0.716053 0.781694 0.193742

0.71623 0.744165 0.111644 0.71623 0.781623 0.193536

0.716407 0.744023 0.111525 0.716407 0.781553 0.19333

0.716584 0.743881 0.111406 0.716584 0.781482 0.193124

0.716761 0.743739 0.111288 0.716761 0.781411 0.192918

0.716939 0.743597 0.11117 0.716939 0.78134 0.192713

0.717116 0.743455 0.111052 0.717116 0.781268 0.192507

0.717293 0.743312 0.110934 0.717293 0.781197 0.192302

0.71747 0.743169 0.110816 0.71747 0.781125 0.192096

0.717647 0.743026 0.110698 0.717647 0.781054 0.191891

0.717824 0.742883 0.11058 0.717824 0.780982 0.191686

0.718001 0.742739 0.110463 0.718001 0.780911 0.191481

0.718179 0.742596 0.110345 0.718179 0.780839 0.191276

0.718356 0.742452 0.110228 0.718356 0.780767 0.191071

0.718533 0.742308 0.11011 0.718533 0.780695 0.190866

0.71871 0.742163 0.109993 0.71871 0.780623 0.190662

0.718887 0.742019 0.109876 0.718887 0.78055 0.190457

0.719064 0.741874 0.109759 0.719064 0.780478 0.190253

0.719241 0.741729 0.109642 0.719241 0.780406 0.190048

0.719419 0.741584 0.109526 0.719419 0.780333 0.189844

0.719596 0.741439 0.109409 0.719596 0.78026 0.18964

0.719773 0.741293 0.109292 0.719773 0.780188 0.189436

0.71995 0.741148 0.109176 0.71995 0.780115 0.189232

0.720127 0.741002 0.10906 0.720127 0.780042 0.189028

0.720304 0.740856 0.108944 0.720304 0.779969 0.188825

0.720481 0.740709 0.108827 0.720481 0.779896 0.188621

0.720658 0.740563 0.108711 0.720658 0.779822 0.188417

0.720836 0.740416 0.108596 0.720836 0.779749 0.188214

0.721013 0.740269 0.10848 0.721013 0.779675 0.188011

0.72119 0.740122 0.108364 0.72119 0.779602 0.187807

0.721367 0.739974 0.108249 0.721367 0.779528 0.187604

0.721544 0.739827 0.108133 0.721544 0.779454 0.187401

0.721721 0.739679 0.108018 0.721721 0.779381 0.187198

0.721898 0.739531 0.107903 0.721898 0.779307 0.186995

0.722076 0.739383 0.107787 0.722076 0.779232 0.186793

0.722253 0.739234 0.107672 0.722253 0.779158 0.18659

0.72243 0.739086 0.107557 0.72243 0.779084 0.186388

0.722607 0.738937 0.107443 0.722607 0.779009 0.186185

0.722784 0.738788 0.107328 0.722784 0.778935 0.185983

0.722961 0.738639 0.107213 0.722961 0.77886 0.185781

0.723138 0.738489 0.107099 0.723138 0.778786 0.185578

0.723316 0.73834 0.106984 0.723316 0.778711 0.185376

0.723493 0.73819 0.10687 0.723493 0.778636 0.185174

0.72367 0.73804 0.106756 0.72367 0.778561 0.184972

0.723847 0.737889 0.106642 0.723847 0.778486 0.184771

0.724024 0.737739 0.106528 0.724024 0.77841 0.184569

0.724201 0.737588 0.106414 0.724201 0.778335 0.184367

0.724378 0.737437 0.1063 0.724378 0.778259 0.184166

0.724556 0.737286 0.106187 0.724556 0.778184 0.183965

0.724733 0.737134 0.106073 0.724733 0.778108 0.183763

0.72491 0.736983 0.10596 0.72491 0.778032 0.183562

0.725087 0.736831 0.105846 0.725087 0.777956 0.183361

0.725264 0.736679 0.105733 0.725264 0.77788 0.18316

0.725441 0.736527 0.10562 0.725441 0.777804 0.182959

0.725618 0.736374 0.105507 0.725618 0.777728 0.182758

0.725796 0.736221 0.105394 0.725796 0.777652 0.182557

0.725973 0.736068 0.105281 0.725973 0.777575 0.182357

0.72615 0.735915 0.105168 0.72615 0.777499 0.182156

0.726327 0.735762 0.105056 0.726327 0.777422 0.181956

0.726504 0.735608 0.104943 0.726504 0.777345 0.181755

0.726681 0.735455 0.104831 0.726681 0.777268 0.181555

0.726858 0.735301 0.104718 0.726858 0.777191 0.181355

0.727036 0.735146 0.104606 0.727036 0.777114 0.181155

0.727213 0.734992 0.104494 0.727213 0.777037 0.180955

0.72739 0.734837 0.104382 0.72739 0.77696 0.180755

0.727567 0.734682 0.10427 0.727567 0.776882 0.180555

0.727744 0.734527 0.104158 0.727744 0.776805 0.180355

0.727921 0.734372 0.104046 0.727921 0.776727 0.180156

0.728098 0.734216 0.103935 0.728098 0.776649 0.179956

0.728276 0.73406 0.103823 0.728276 0.776571 0.179757

0.728453 0.733904 0.103712 0.728453 0.776493 0.179557

0.72863 0.733748 0.1036 0.72863 0.776415 0.179358

0.728807 0.733592 0.103489 0.728807 0.776337 0.179159

0.728984 0.733435 0.103378 0.728984 0.776258 0.17896

0.729161 0.733278 0.103267 0.729161 0.77618 0.178761

0.729338 0.733121 0.103156 0.729338 0.776101 0.178562

0.729516 0.732963 0.103045 0.729516 0.776023 0.178363

0.729693 0.732806 0.102934 0.729693 0.775944 0.178164

0.72987 0.732648 0.102824 0.72987 0.775865 0.177966

0.730047 0.73249 0.102713 0.730047 0.775786 0.177767

0.730224 0.732332 0.102603 0.730224 0.775707 0.177569

0.730401 0.732173 0.102492 0.730401 0.775627 0.17737

0.730578 0.732014 0.102382 0.730578 0.775548 0.177172

0.730756 0.731855 0.102272 0.730756 0.775469 0.176974

0.730933 0.731696 0.102162 0.730933 0.775389 0.176775

0.73111 0.731537 0.102052 0.73111 0.775309 0.176577

0.731287 0.731377 0.101942 0.731287 0.775229 0.176379

0.731464 0.731217 0.101832 0.731464 0.775149 0.176181

0.731641 0.731057 0.101723 0.731641 0.775069 0.175984

0.731818 0.730896 0.101613 0.731818 0.774989 0.175786

0.731996 0.730736 0.101504 0.731996 0.774909 0.175588

0.732173 0.730575 0.101394 0.732173 0.774828 0.175391

0.73235 0.730414 0.101285 0.73235 0.774748 0.175193

0.732527 0.730252 0.101176 0.732527 0.774667 0.174996

0.732704 0.730091 0.101067 0.732704 0.774586 0.174799

0.732881 0.729929 0.100958 0.732881 0.774506 0.174601

