#P_AB   P_AC     delta*    P_AB    P_AC     delta
 0.80759 0.656304 0.0269722 0.80759 0.747928 0.0454261 

 0.807783 0.655939 0.0269348 0.807783 0.747746 0.0453339 

 0.807976 0.655573 0.0268975 0.807976 0.747563 0.0452416 

 0.808169 0.655206 0.0268602 0.808169 0.747379 0.0451493 

 0.808362 0.654837 0.026823 0.808362 0.747195 0.0450569 

 0.808554 0.654468 0.0267858 0.808554 0.74701 0.0449645 

 0.808747 0.654097 0.0267486 0.808747 0.746825 0.0448721 

 0.80894 0.653725 0.0267114 0.80894 0.746639 0.0447795 

 0.809133 0.653353 0.0266743 0.809133 0.746453 0.044687 

 0.809326 0.652979 0.0266372 0.809326 0.746266 0.0445944 

 0.809519 0.652603 0.0266001 0.809519 0.746078 0.0445017 

 0.809712 0.652227 0.0265631 0.809712 0.74589 0.044409 

 0.809905 0.65185 0.0265261 0.809905 0.745701 0.0443162 

 0.810098 0.651471 0.0264891 0.810098 0.745512 0.0442233 

 0.81029 0.651091 0.0264521 0.81029 0.745322 0.0441305 

 0.810483 0.65071 0.0264152 0.810483 0.745131 0.0440375 

 0.810676 0.650328 0.0263783 0.810676 0.74494 0.0439445 

 0.810869 0.649944 0.0263415 0.810869 0.744749 0.0438514 

 0.811062 0.64956 0.0263046 0.811062 0.744556 0.0437583 

