#P_AB   P_AC     delta*    P_AB    P_AC     delta
0.778188 0.663012 0.100529 0.778188 0.7344 0.158546 

0.778358 0.662762 0.100418 0.778358 0.734275 0.15831 

0.778527 0.662511 0.100306 0.778527 0.73415 0.158074 

0.778697 0.662259 0.100194 0.778697 0.734024 0.157839 

0.778866 0.662007 0.100083 0.778866 0.733898 0.157603 

0.779036 0.661754 0.0999714 0.779036 0.733771 0.157367 

0.779206 0.661501 0.09986 0.779206 0.733645 0.157131 

0.779375 0.661247 0.0997487 0.779375 0.733518 0.156895 

0.779545 0.660993 0.0996375 0.779545 0.733391 0.156659 

0.779714 0.660738 0.0995263 0.779714 0.733263 0.156423 

0.779884 0.660483 0.0994152 0.779884 0.733135 0.156187 

0.780053 0.660226 0.0993041 0.780053 0.733007 0.155951 

0.780223 0.65997 0.0991932 0.780223 0.732879 0.155714 

