#P_AB   P_AC     delta*    P_AB    P_AC     delta
0.721386 0.726089 0.142637 0.721386 0.765939 0.237309 

0.721556 0.725945 0.142495 0.721556 0.765867 0.237067 

0.721725 0.725801 0.142353 0.721725 0.765795 0.236825 

0.721895 0.725657 0.142212 0.721895 0.765723 0.236583 

0.722064 0.725513 0.14207 0.722064 0.765651 0.236341 

0.722234 0.725368 0.141929 0.722234 0.765578 0.236099 

0.722404 0.725224 0.141788 0.722404 0.765506 0.235857 

0.722573 0.725079 0.141647 0.722573 0.765433 0.235615 

0.722743 0.724934 0.141506 0.722743 0.765361 0.235373 

0.722912 0.724788 0.141365 0.722912 0.765288 0.235132 

0.723082 0.724643 0.141225 0.723082 0.765215 0.23489 

0.723251 0.724497 0.141084 0.723251 0.765143 0.234648 

0.723421 0.724351 0.140943 0.723421 0.76507 0.234407 

0.72359 0.724205 0.140803 0.72359 0.764997 0.234165 

0.72376 0.724058 0.140663 0.72376 0.764923 0.233924 

0.72393 0.723912 0.140523 0.72393 0.76485 0.233683 

0.724099 0.723765 0.140383 0.724099 0.764777 0.233442 

0.724269 0.723618 0.140243 0.724269 0.764703 0.233201 

0.724438 0.723471 0.140103 0.724438 0.76463 0.23296 

0.724608 0.723324 0.139963 0.724608 0.764556 0.232719 

0.724777 0.723176 0.139823 0.724777 0.764482 0.232478 

0.724947 0.723028 0.139684 0.724947 0.764408 0.232237 

0.725117 0.72288 0.139545 0.725117 0.764334 0.231996 

0.725286 0.722732 0.139405 0.725286 0.76426 0.231755 

0.725456 0.722584 0.139266 0.725456 0.764186 0.231515 

0.725625 0.722435 0.139127 0.725625 0.764112 0.231274 

0.725795 0.722286 0.138988 0.725795 0.764037 0.231034 

0.725964 0.722137 0.138849 0.725964 0.763963 0.230793 

0.726134 0.721988 0.13871 0.726134 0.763888 0.230553 

0.726303 0.721838 0.138572 0.726303 0.763813 0.230313 

0.726473 0.721688 0.138433 0.726473 0.763738 0.230073 

0.726643 0.721539 0.138295 0.726643 0.763663 0.229833 

0.726812 0.721388 0.138156 0.726812 0.763588 0.229592 

0.726982 0.721238 0.138018 0.726982 0.763513 0.229352 

0.727151 0.721087 0.13788 0.727151 0.763438 0.229113 

0.727321 0.720937 0.137742 0.727321 0.763363 0.228873 

0.72749 0.720786 0.137604 0.72749 0.763287 0.228633 

0.72766 0.720634 0.137466 0.72766 0.763211 0.228393 

0.727829 0.720483 0.137328 0.727829 0.763136 0.228154 

0.727999 0.720331 0.137191 0.727999 0.76306 0.227914 

0.728169 0.72018 0.137053 0.728169 0.762984 0.227674 

0.728338 0.720027 0.136916 0.728338 0.762908 0.227435 

0.728508 0.719875 0.136779 0.728508 0.762832 0.227196 

0.728677 0.719723 0.136641 0.728677 0.762755 0.226956 

0.728847 0.71957 0.136504 0.728847 0.762679 0.226717 

0.729016 0.719417 0.136367 0.729016 0.762603 0.226478 

0.729186 0.719264 0.136231 0.729186 0.762526 0.226239 

0.729355 0.71911 0.136094 0.729355 0.762449 0.226 

0.729525 0.718957 0.135957 0.729525 0.762373 0.225761 

0.729695 0.718803 0.135821 0.729695 0.762296 0.225522 

0.729864 0.718649 0.135684 0.729864 0.762219 0.225283 

0.730034 0.718495 0.135548 0.730034 0.762141 0.225044 

0.730203 0.71834 0.135411 0.730203 0.762064 0.224805 

0.730373 0.718185 0.135275 0.730373 0.761987 0.224567 

0.730542 0.71803 0.135139 0.730542 0.761909 0.224328 

0.730712 0.717875 0.135003 0.730712 0.761832 0.22409 

0.730881 0.71772 0.134867 0.730881 0.761754 0.223851 

0.731051 0.717564 0.134732 0.731051 0.761676 0.223613 

0.731221 0.717408 0.134596 0.731221 0.761598 0.223374 

0.73139 0.717252 0.134461 0.73139 0.76152 0.223136 

0.73156 0.717096 0.134325 0.73156 0.761442 0.222898 

0.731729 0.716939 0.13419 0.731729 0.761364 0.22266 

0.731899 0.716783 0.134055 0.731899 0.761285 0.222422 

0.732068 0.716626 0.133919 0.732068 0.761207 0.222183 

0.732238 0.716468 0.133784 0.732238 0.761128 0.221946 

0.732408 0.716311 0.133649 0.732408 0.76105 0.221708 

0.732577 0.716153 0.133515 0.732577 0.760971 0.22147 

0.732747 0.715995 0.13338 0.732747 0.760892 0.221232 

0.732916 0.715837 0.133245 0.732916 0.760813 0.220994 

0.733086 0.715679 0.133111 0.733086 0.760734 0.220756 

0.733255 0.71552 0.132976 0.733255 0.760654 0.220519 

0.733425 0.715361 0.132842 0.733425 0.760575 0.220281 

0.733594 0.715202 0.132708 0.733594 0.760495 0.220044 

0.733764 0.715043 0.132574 0.733764 0.760416 0.219806 

0.733934 0.714884 0.13244 0.733934 0.760336 0.219569 

0.734103 0.714724 0.132306 0.734103 0.760256 0.219332 

0.734273 0.714564 0.132172 0.734273 0.760176 0.219094 

0.734442 0.714404 0.132038 0.734442 0.760096 0.218857 

0.734612 0.714243 0.131905 0.734612 0.760016 0.21862 

0.734781 0.714082 0.131771 0.734781 0.759935 0.218383 

0.734951 0.713921 0.131638 0.734951 0.759855 0.218146 

0.73512 0.71376 0.131504 0.73512 0.759774 0.217909 

0.73529 0.713599 0.131371 0.73529 0.759694 0.217672 

0.73546 0.713437 0.131238 0.73546 0.759613 0.217435 

0.735629 0.713275 0.131105 0.735629 0.759532 0.217198 

0.735799 0.713113 0.130972 0.735799 0.759451 0.216961 

0.735968 0.712951 0.130839 0.735968 0.75937 0.216725 

0.736138 0.712788 0.130706 0.736138 0.759288 0.216488 

0.736307 0.712625 0.130574 0.736307 0.759207 0.216251 

0.736477 0.712462 0.130441 0.736477 0.759125 0.216015 

0.736646 0.712299 0.130309 0.736646 0.759044 0.215778 

0.736816 0.712135 0.130177 0.736816 0.758962 0.215542 

0.736986 0.711971 0.130044 0.736986 0.75888 0.215305 

0.737155 0.711807 0.129912 0.737155 0.758798 0.215069 

0.737325 0.711643 0.12978 0.737325 0.758716 0.214833 

0.737494 0.711478 0.129648 0.737494 0.758633 0.214596 

0.737664 0.711314 0.129516 0.737664 0.758551 0.21436 

0.737833 0.711148 0.129385 0.737833 0.758468 0.214124 

0.738003 0.710983 0.129253 0.738003 0.758386 0.213888 

0.738172 0.710818 0.129121 0.738172 0.758303 0.213652 

0.738342 0.710652 0.12899 0.738342 0.75822 0.213416 

0.738512 0.710486 0.128859 0.738512 0.758137 0.21318 

0.738681 0.710319 0.128727 0.738681 0.758054 0.212944 

0.738851 0.710153 0.128596 0.738851 0.757971 0.212708 

0.73902 0.709986 0.128465 0.73902 0.757887 0.212472 

0.73919 0.709819 0.128334 0.73919 0.757804 0.212237 

0.739359 0.709652 0.128203 0.739359 0.75772 0.212001 

0.739529 0.709484 0.128072 0.739529 0.757636 0.211765 

0.739699 0.709316 0.127942 0.739699 0.757552 0.21153 

0.739868 0.709148 0.127811 0.739868 0.757468 0.211294 

0.740038 0.70898 0.127681 0.740038 0.757384 0.211059 

0.740207 0.708811 0.12755 0.740207 0.7573 0.210823 

0.740377 0.708643 0.12742 0.740377 0.757215 0.210588 

0.740546 0.708474 0.12729 0.740546 0.757131 0.210352 

0.740716 0.708304 0.12716 0.740716 0.757046 0.210117 

0.740885 0.708135 0.12703 0.740885 0.756961 0.209882 

0.741055 0.707965 0.1269 0.741055 0.756877 0.209647 

0.741225 0.707795 0.12677 0.741225 0.756791 0.209411 

0.741394 0.707624 0.12664 0.741394 0.756706 0.209176 

0.741564 0.707454 0.12651 0.741564 0.756621 0.208941 

0.741733 0.707283 0.126381 0.741733 0.756536 0.208706 

0.741903 0.707112 0.126251 0.741903 0.75645 0.208471 

0.742072 0.70694 0.126122 0.742072 0.756364 0.208236 

0.742242 0.706768 0.125993 0.742242 0.756278 0.208001 

0.742411 0.706597 0.125864 0.742411 0.756192 0.207766 

0.742581 0.706424 0.125734 0.742581 0.756106 0.207532 

0.742751 0.706252 0.125606 0.742751 0.75602 0.207297 

0.74292 0.706079 0.125477 0.74292 0.755934 0.207062 

0.74309 0.705906 0.125348 0.74309 0.755847 0.206827 

0.743259 0.705733 0.125219 0.743259 0.755761 0.206593 

0.743429 0.705559 0.125091 0.743429 0.755674 0.206358 

0.743598 0.705386 0.124962 0.743598 0.755587 0.206124 

0.743768 0.705211 0.124834 0.743768 0.7555 0.205889 

0.743937 0.705037 0.124705 0.743937 0.755413 0.205654 

0.744107 0.704862 0.124577 0.744107 0.755325 0.20542 

0.744277 0.704688 0.124449 0.744277 0.755238 0.205186 

0.744446 0.704512 0.124321 0.744446 0.75515 0.204951 

0.744616 0.704337 0.124193 0.744616 0.755063 0.204717 

0.744785 0.704161 0.124065 0.744785 0.754975 0.204483 

0.744955 0.703985 0.123937 0.744955 0.754887 0.204248 

0.745124 0.703809 0.123809 0.745124 0.754799 0.204014 

0.745294 0.703633 0.123682 0.745294 0.75471 0.20378 

0.745463 0.703456 0.123554 0.745463 0.754622 0.203546 

0.745633 0.703279 0.123427 0.745633 0.754534 0.203312 

0.745803 0.703101 0.1233 0.745803 0.754445 0.203078 

0.745972 0.702924 0.123172 0.745972 0.754356 0.202844 

0.746142 0.702746 0.123045 0.746142 0.754267 0.20261 

0.746311 0.702568 0.122918 0.746311 0.754178 0.202376 

0.746481 0.702389 0.122791 0.746481 0.754089 0.202142 

0.74665 0.702211 0.122664 0.74665 0.753999 0.201908 

0.74682 0.702031 0.122538 0.74682 0.75391 0.201674 

0.746989 0.701852 0.122411 0.746989 0.75382 0.20144 

0.747159 0.701673 0.122284 0.747159 0.75373 0.201206 

0.747329 0.701493 0.122158 0.747329 0.753641 0.200972 

0.747498 0.701313 0.122031 0.747498 0.75355 0.200739 

0.747668 0.701132 0.121905 0.747668 0.75346 0.200505 

0.747837 0.700951 0.121779 0.747837 0.75337 0.200271 

0.748007 0.70077 0.121653 0.748007 0.753279 0.200038 

0.748176 0.700589 0.121527 0.748176 0.753189 0.199804 

0.748346 0.700408 0.121401 0.748346 0.753098 0.199571 

0.748516 0.700226 0.121275 0.748516 0.753007 0.199337 

0.748685 0.700043 0.121149 0.748685 0.752916 0.199104 

0.748855 0.699861 0.121023 0.748855 0.752825 0.19887 

0.749024 0.699678 0.120898 0.749024 0.752733 0.198637 

0.749194 0.699495 0.120772 0.749194 0.752642 0.198403 

0.749363 0.699312 0.120647 0.749363 0.75255 0.19817 

0.749533 0.699128 0.120522 0.749533 0.752458 0.197936 

0.749702 0.698944 0.120396 0.749702 0.752366 0.197703 

0.749872 0.69876 0.120271 0.749872 0.752274 0.19747 

0.750042 0.698576 0.120146 0.750042 0.752182 0.197237 

0.750211 0.698391 0.120021 0.750211 0.75209 0.197003 

0.750381 0.698206 0.119896 0.750381 0.751997 0.19677 

0.75055 0.69802 0.119771 0.75055 0.751904 0.196537 

